	    0	    10	    20	    30	    40	    50	    60	    70	    80	    90	    100
0	    0	    1020	1032	1057	1020	1045	1070	1083	1108	1133	1145
250	    0	    261	    611	    953	    1359	1724	2090	2455	2820	3147	3449
500	    0	    142	    320	    521	    700	    879	    1058	1246	1425	1604	2379
750	    0	    83	    206	    331	    457	    583	    920	    1042	1254	1856	1539
1000	0	    68	    163	    254	    342	    531	    609	    709	    830	    1072	993
1250	0	    69	    137	    211	    318	    401	    531	    531	    531	    531	    531
1500	0	    41	    101	    176	    236	    405	    453	    599	    599	    599	    599
1750	0	    55	    109	    160	    211	    338	    338	    338	    338	    338	    338
2000	0	    41	    84	    131	    176	    280	    405	    405	    405	    405	    405
2250	0	    35	    78	    119	    162	    283	    307	    351	    423	    612	    612
2500	0	    47	    84	    123	    164	    220	    220	    220	    220	    220	    220
2750	0	    55	    88	    125	    166	    209	    280	    280	    280	    280	    280
3000	0	    64	    94	    127	    168	    211	    232	    263	    351	    351	    351
3250	0	    -119	-119	-119	-119	-119	-119	-119	-119	-159	-159
3500	0	    -119	-119	-119	-119	-119	-119	-119	-119	-119	-119
