	    0	    10	    20	30	40	50	60	70	80	90	100
0	    0	    240	    480	719	959	1199	1439	1678	1918	2158	2398
250	    0	    240	    480	719	959	1199	1439	1678	1918	2158	2398
500	    0	    240	    480	719	959	1199	1439	1678	1918	2158	2398
750	    0	    144	    288	432	575	719	863	1007	1151	1295	1439
1000	0	    93	    186	279	372	465	558	651	744	837	930
1250	0	    0	    0	0	0	0	0	0	0	0	0
1500	0	    0	    0	0	0	0	0	0	0	0	0
1750	0	    0	    0	0	0	0	0	0	0	0	0
2000	0	    0	    0	0	0	0	0	0	0	0	0
2250	0	    0	    0	0	0	0	0	0	0	0	0
2500	0	    0	    0	0	0	0	0	0	0	0	0
2750	0	    0	    0	0	0	0	0	0	0	0	0
3000	0	    0	    0	0	0	0	0	0	0	0	0
3250	0	    0	    0	0	0	0	0	0	0	0	0
3500	0	    0	    0	0	0	0	0	0	0	0	0
